Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776761571,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776761572,100,,Aggregated,0.000000,0.000000,270,390,420,420,460,740,750,780,780,780,780,151,0,270,287.30308755712633,29.950200012535788,776.0624885559082,121.55629139072848
1776761573,200,,Aggregated,0.000000,0.000000,180,270,370,420,600,740,1500,1500,1600,1600,1600,459,0,180,263.1078631714649,26.85650000057649,1565.2756690979004,122.42483660130719
1776761574,300,,Aggregated,0.000000,0.000000,160,230,370,430,610,720,1500,2200,2300,2300,2300,835,0,160,274.9806643800195,23.416900003212504,2301.7497062683105,122.87664670658683
1776761575,400,,Aggregated,91.000000,0.000000,150,180,310,420,620,780,2800,3600,3700,3700,3700,1343,0,150,307.70603409661544,23.416900003212504,3693.2082176208496,122.74013402829486
1776761577,500,,Aggregated,220.000000,0.000000,160,220,290,350,610,780,2800,3700,4400,4400,4400,1939,0,160,310.177985523232,23.416900003212504,4436.076402664185,123.29654461062404
1776761578,600,,Aggregated,281.600000,0.000000,190,240,300,340,650,830,2900,4400,5300,5400,5400,2545,0,190,349.24561137347007,23.416900003212504,5417.785167694092,123.67504911591355
1776761579,700,,Aggregated,319.333333,0.000000,220,300,400,450,670,1200,3700,5200,5600,5600,5600,3087,0,220,404.59423697473824,23.416900003212504,5588.364839553833,123.837058632977
1776761580,800,,Aggregated,350.142857,0.000000,270,390,440,480,740,1400,4200,5400,6700,7100,7100,3722,0,270,468.46887146073846,23.416900003212504,7109.971046447754,123.9615797958087
1776761581,900,,Aggregated,363.500000,0.000000,300,440,510,560,860,1700,4500,6300,8200,8200,8200,4147,0,300,539.9743054556393,23.416900003212504,8235.06212234497,123.86616831444418
1776761582,1000,,Aggregated,378.777778,0.000000,360,500,640,700,980,1700,4400,6500,8300,8500,8500,4762,0,360,594.7895231149702,23.416900003212504,8452.747583389282,124.21251574968501
1776761583,1000,,Aggregated,389.000000,0.000000,400,540,690,760,1000,2200,5200,7100,9900,10000,10000,5210,0,400,658.5738514023358,23.416900003212504,10343.26958656311,124.20326295585413
1776761584,1000,,Aggregated,444.000000,0.000000,440,650,720,820,1100,2500,5400,8200,10000,10000,10000,5754,0,440,722.9073491191813,23.416900003212504,10402.330160140991,124.19169273548836
1776761585,1000,,Aggregated,478.600000,0.000000,490,670,790,840,1100,3100,5600,9400,11000,11000,11000,6493,0,490,800.3255322237158,23.416900003212504,11096.844911575317,124.31218235022332
1776761587,1000,,Aggregated,525.700000,0.000000,540,690,790,850,1100,3500,6700,9900,13000,13000,13000,7331,0,540,863.731160315433,23.416900003212504,12770.946741104126,124.30391488200792
1776761588,1000,,Aggregated,508.500000,0.000000,530,670,780,820,1100,3400,7100,11000,13000,14000,14000,8096,0,530,865.2483909173478,23.416900003212504,13663.958311080933,124.3826581027668
1776761589,1000,,Aggregated,537.400000,0.000000,540,660,750,800,1100,3100,8200,11000,14000,14000,14000,8839,0,540,877.9039413500338,23.416900003212504,14178.242206573486,124.38545084285553
1776761590,1000,,Aggregated,551.600000,0.000000,530,640,700,790,1000,3000,8200,12000,15000,15000,15000,9563,0,530,873.5408750236477,23.416900003212504,15227.675199508667,124.48373941231831
1776761591,1000,,Aggregated,573.300000,0.000000,520,630,690,780,990,2800,8200,12000,15000,16000,16000,10336,0,520,861.8919530753255,23.416900003212504,15730.165958404541,124.59810371517028
1776761592,1000,,Aggregated,588.900000,0.000000,510,610,680,760,980,2800,8300,13000,17000,17000,17000,11059,0,510,880.6628951219285,23.416900003212504,16980.010747909546,124.57374084456099
1776761593,1000,,Aggregated,614.700000,0.000000,510,600,670,740,950,2600,8200,13000,17000,17000,17000,11585,0,510,867.4794530517324,23.416900003212504,16980.010747909546,124.66378938282261
1776761594,1000,,Aggregated,622.200000,0.000000,510,600,660,710,920,2500,8600,14000,17000,18000,18000,12288,0,510,879.4518767352857,23.416900003212504,17709.730863571167,124.66935221354167
1776761595,1000,,Aggregated,636.900000,0.000000,510,590,660,690,920,2500,9800,14000,19000,19000,19000,12862,0,510,902.5967869068836,23.416900003212504,19322.508573532104,124.6250971855077
1776761596,1000,,Aggregated,647.100000,0.000000,510,580,650,690,910,2200,9800,15000,20000,20000,20000,13511,0,510,902.5227904177985,23.416900003212504,20319.39125061035,124.66530974761305
1776761597,1000,,Aggregated,643.600000,0.000000,510,580,650,690,900,2200,10000,15000,20000,21000,21000,13994,1,510,921.7299166357762,23.416900003212504,20814.13245201111,124.63913105616693
1776761598,1000,,Aggregated,668.000000,0.000000,510,590,640,680,890,2200,10000,15000,21000,22000,22000,14487,12,510,923.2001656916273,23.416900003212504,21825.01220703125,124.60336853730931
1776761599,1000,,Aggregated,645.000000,0.000000,520,590,640,680,880,2200,11000,16000,22000,22000,22000,15030,38,520,942.3176650409243,23.416900003212504,21825.01220703125,124.43067198935462
1776761600,1000,,Aggregated,632.100000,1.000000,520,590,650,690,880,2200,12000,17000,23000,23000,23000,15479,66,520,974.0422382455813,23.416900003212504,23153.452157974243,124.22327023709542
1776761601,1000,,Aggregated,615.700000,3.600000,520,600,660,690,880,2000,11000,17000,23000,23000,23000,15857,69,520,968.1686198546641,23.416900003212504,23237.0126247406,124.26568707826196
1776761602,1000,,Aggregated,597.000000,3.900000,530,610,660,690,870,2200,12000,19000,24000,25000,25000,16309,103,530,1012.7706310347975,23.416900003212504,25179.078817367554,124.00269789686676
1776761603,1000,,Aggregated,563.100000,6.900000,530,610,670,690,880,2100,12000,19000,24000,25000,25000,16641,115,530,1017.5008626187737,23.416900003212504,25179.078817367554,123.97169641247521
1776761604,1000,,Aggregated,543.900000,9.100000,530,620,680,710,910,2100,13000,19000,26000,26000,26000,16955,132,530,1037.7492574346525,23.416900003212504,26097.928524017334,123.87437334119728
1776761605,1000,,Aggregated,513.900000,11.400000,530,620,680,740,940,2200,14000,20000,26000,27000,27000,17288,163,530,1078.3628037525414,23.416900003212504,27002.954483032227,123.66028459046737
1776761606,1000,,Aggregated,474.200000,11.500000,540,630,690,750,970,2200,14000,21000,26000,28000,28000,17529,170,540,1087.8780971280505,23.416900003212504,28146.969318389893,123.6451594500542
1776761607,1000,,Aggregated,457.500000,15.500000,540,630,690,770,1000,2200,14000,21000,28000,29000,29000,17762,185,540,1113.578486606247,23.416900003212504,29197.61610031128,123.55083886949667
1776761608,1000,,Aggregated,422.500000,16.400000,540,640,690,780,1100,2500,15000,23000,29000,30000,30000,17961,220,540,1162.5531296937456,23.416900003212504,29574.158668518066,123.29992762095652
1776761609,1000,,Aggregated,390.100000,17.600000,540,640,690,790,1100,2300,15000,23000,29000,30000,30000,18078,220,540,1164.3607464890651,23.416900003212504,29574.158668518066,123.32392963823432
1776761610,1000,,Aggregated,359.800000,20.400000,540,640,690,790,1100,2500,15000,23000,29000,31000,31000,18188,221,540,1171.2570353374274,23.416900003212504,31200.855255126953,123.33329667912909
1776761611,1000,,Aggregated,322.100000,18.400000,540,640,700,790,1200,2700,16000,24000,32000,32000,32000,18339,253,540,1225.2954662590712,23.416900003212504,32035.36105155945,123.1009324390643
1776761612,1000,,Aggregated,284.000000,18.100000,540,640,700,790,1200,2900,17000,24000,32000,33000,33000,18407,266,540,1247.2772535969711,23.416900003212504,33014.44435119629,123.00727983919161
1776761613,1000,,Aggregated,257.900000,16.200000,540,640,700,790,1200,2900,17000,24000,32000,33000,33000,18433,266,540,1247.360826830115,23.416900003212504,33014.44435119629,123.01291162588835
1776761614,1000,,Aggregated,228.400000,17.200000,540,640,700,790,1200,2900,17000,24000,32000,35000,35000,18463,270,540,1253.90642070491,23.416900003212504,34649.53088760376,122.98624275578183
1776761615,1000,,Aggregated,194.400000,15.200000,540,640,700,790,1200,3000,17000,24000,32000,35000,35000,18489,274,540,1259.7348193203882,23.416900003212504,34956.74467086792,122.95878630537077
1776761616,1000,,Aggregated,169.600000,15.400000,540,640,700,790,1200,3000,17000,24000,32000,35000,35000,18503,278,540,1266.4675873424928,23.416900003212504,35491.63293838501,122.92876830784198
1776761617,1000,,Aggregated,132.400000,11.500000,540,640,700,790,1200,3000,17000,24000,32000,35000,35000,18504,278,540,1266.4019953144266,23.416900003212504,35491.63293838501,122.92898832684826
1776761618,1000,,Aggregated,110.300000,11.300000,540,640,700,790,1200,3000,17000,24000,32000,35000,35000,18506,278,540,1266.2701087862404,23.416900003212504,35491.63293838501,122.92942829352643
1776761619,1000,,Aggregated,86.200000,10.200000,540,640,700,790,1200,3000,17000,24000,33000,38000,38000,18513,280,540,1270.4305855034045,23.416900003212504,37766.33667945862,122.9144385026738
1776761620,1000,,Aggregated,61.900000,6.400000,540,640,700,800,1200,3100,17000,24000,33000,41000,41000,18526,284,540,1281.2267485382492,23.416900003212504,40905.131816864014,122.88427075461513
1776761621,1000,,Aggregated,48.800000,5.800000,540,640,700,800,1200,3100,17000,24000,35000,41000,42000,18535,287,540,1289.0258605207378,23.416900003212504,41917.66023635864,122.86150526031831
1776761622,1000,,Aggregated,40.800000,6.100000,540,640,700,800,1200,3100,17000,25000,35000,43000,43000,18553,293,540,1305.8960625268953,23.416900003212504,43248.39282035828,122.81631003072279
1776761623,1000,,Aggregated,28.500000,5.500000,540,640,700,800,1200,3300,17000,25000,35000,43000,44000,18559,295,540,1311.6887889652555,23.416900003212504,43965.2795791626,122.80128239668086
1776761624,1000,,Aggregated,15.300000,2.500000,540,640,700,800,1200,3300,17000,25000,38000,43000,44000,18565,297,540,1317.4684643956393,23.416900003212504,43965.2795791626,122.78626447616483
1776761625,1000,,Aggregated,13.600000,2.800000,540,640,700,800,1200,3400,17000,25000,38000,45000,46000,18571,299,540,1323.686866195627,23.416900003212504,46003.69119644165,122.77125625975984
1776761626,1000,,Aggregated,10.900000,2.700000,540,640,700,800,1200,3400,18000,26000,39000,46000,47000,18577,301,540,1330.0352605563835,23.416900003212504,47006.404638290405,122.7562577380632
1776761627,1000,,Aggregated,9.600000,2.800000,540,640,700,800,1200,3400,18000,26000,41000,47000,48000,18583,303,540,1336.59959984191,23.416900003212504,47515.98787307739,122.74126890168434
1776761628,1000,,Aggregated,7.300000,2.300000,540,640,700,800,1200,3500,18000,26000,41000,48000,49000,18589,305,540,1343.322036853099,23.416900003212504,48564.141511917114,122.72628974124483
1776761629,1000,,Aggregated,7.700000,2.400000,540,640,700,800,1200,3500,19000,26000,42000,48000,49000,18595,307,540,1350.142322459321,23.416900003212504,48564.141511917114,122.71137402527562
1776761630,1000,,Aggregated,8.100000,2.600000,540,640,700,800,1200,3500,19000,26000,43000,51000,51000,18601,309,540,1357.4128543301522,23.416900003212504,51126.69825553894,122.69641417128112
1776761631,1000,,Aggregated,8.500000,2.800000,540,640,700,800,1200,3500,19000,26000,43000,51000,51000,18607,311,540,1364.7230698863468,23.416900003212504,51126.69825553894,122.6814639651744
1776761632,1000,,Aggregated,8.200000,2.700000,540,640,700,800,1200,3500,19000,26000,43000,53000,53000,18613,313,540,1372.4201947990446,23.416900003212504,53152.602195739746,122.66652339762531
1776761633,1000,,Aggregated,7.100000,2.300000,540,640,700,800,1200,3500,19000,26000,44000,53000,54000,18619,315,540,1380.2231299162286,23.416900003212504,54217.78178215027,122.65159245931575
1776761634,1000,,Aggregated,6.900000,2.300000,540,640,700,800,1200,3600,19000,26000,45000,54000,55000,18625,317,540,1388.2434752454578,23.416900003212504,55277.923822402954,122.6366711409396
1776761635,1000,,Aggregated,5.700000,1.900000,540,640,700,800,1200,3600,19000,26000,47000,56000,56000,18631,319,540,1396.580395948783,23.416900003212504,56226.868867874146,122.62175943320273
1776761636,1000,,Aggregated,5.700000,1.900000,540,640,700,800,1200,3600,19000,26000,47000,56000,57000,18637,321,540,1405.006829549849,23.416900003212504,57253.19504737854,122.60685732682299
1776761637,1000,,Aggregated,5.700000,1.900000,540,640,700,800,1200,3700,20000,26000,48000,56000,57000,18643,323,540,1413.530101652391,23.416900003212504,57253.19504737854,122.59196481253018
